comments,created_time,id,link,message,reactions_angry,reactions_haha,reactions_like,reactions_love,reactions_sad,reactions_wow,shares,story
0,2017-03-09T10:15:43+0000,146241435387419_1505998629411686,https://www.facebook.com/bobbibrown.sg/videos/1505998629411686/,"At #BobbiBrown, we believe in empowering women through education. This #InternationalWomensDay, we're excited to announce our global partnership with Kiva, a non-profit organization that helps low income women in over 85 countries secure microloans and create better futures for themselves.

Spread the word!

#PrettyPowerful #BobbiBrownSG #BeWhoYouAre",0,0,6,0,0,0,,
0,2017-03-08T09:22:02+0000,146241435387419_1504858842858998,https://www.facebook.com/bobbibrown.sg/videos/1504858842858998/,"Happy International Women's Day from all of us at Bobbi Brown!

Every year on this special day, Bobbi reminds us ladies the importance of staying true to ourselves and to stay Pretty Powerful.

Embrace the day, ladies!

#BeWhoYouAre #PrettyPowerful #BobbiBrownSG",0,0,8,1,0,0,1.0,
0,2017-03-07T10:00:01+0000,146241435387419_1501115483233334,https://www.facebook.com/bobbibrown.sg/photos/a.147802145231348.25928.146241435387419/1501115483233334/?type=3,"We're breaking down all the colours just for you! Which is your perfect #MLBB?

Only 1 way to find out! Let us help you with your Lip Makeovers over at Takashimaya. 

Photo Credits: Sylvia (Instagram: @syloft )

#MeetYourNewSqueeze #ArtStick #BobbiBrownSG",0,0,13,2,0,0,2.0,
0,2017-03-06T10:00:00+0000,146241435387419_1501109456567270,https://www.facebook.com/bobbibrown.sg/videos/1501109456567270/,"Happy Monday! Here's Jeakyung strutting her stuff in our Art Stick Liquid Lip in Pink Punch.

Get your Lip Makeovers at our Exclusive Launch at Takashimaya, many goodies up for grabs! 

#MeetYourNewSqueeze #ArtStick #BobbiBrownSG",0,0,9,0,0,0,,
0,2017-03-05T03:00:00+0000,146241435387419_1501088346569381,https://www.facebook.com/bobbibrown.sg/videos/1501088346569381/,"Bold Colours. One Swipe. Super Prigmented. 

Come on down to our studio at ION Orchard to have a sneak at our latest Lip Bar with more than 100 different shades available! 

Get swatching!

#MeetYourNewSqueeze #ArtStick #BobbiBrownSG",0,0,10,2,0,0,,
0,2017-03-04T09:35:17+0000,146241435387419_1501033003241582,https://www.facebook.com/bobbibrown.sg/videos/1501033003241582/,"No need for twisting, all you have to do is squeeze! 

Meet your latest squeeze! Selling fast at Takashimaya, don't miss out! 

#MeetYourNewSqueeze #ArtStick #BobbiBrownSG",0,0,10,0,0,0,,
0,2017-03-04T03:00:01+0000,146241435387419_1500310033313879,,"Meet your new squeeze, Ladies! 

We promise it's like nothing you've ever seen before! 

Head on over to Takashimaya for the exclusive launch this weekend! 

#MeetYourNewSqueeze #ArtStick #BobbiBrownSG",0,0,5,0,0,0,,
0,2017-03-03T05:33:37+0000,146241435387419_1499902066688009,https://www.facebook.com/bobbibrown.sg/videos/1499902066688009/,"Check it out ladies, Jae Kyung is in the house! 

As the new face of Bobbi's Art Stick Liquid Lip, here's a peek at what's been brewing for this exciting collaboration! Watch this space as we unravel more exciting news headed your way! 

#MeetYourNewSqueeze #ArtStick #BobbiBrownSG",0,0,15,0,0,0,1.0,
1,2017-03-01T04:06:41+0000,146241435387419_1498036496874566,https://www.facebook.com/bobbibrown.sg/videos/1498036496874566/,"THE WAIT IS OVER! 

Our Art Stick Liquid Lips are finally here! The super pigmented liquid to semi-matte formula will pack a punch on your pout with the 16 shades available! 

Head on over to our studio at Takashimaya for the exclusive launch and enjoy special treats while you're there. 

This is a squeeze worth checking out! 

#BeWhoYouAre #ArtStick #BobbiBrownSG",0,0,7,0,0,0,,
0,2017-03-01T03:56:57+0000,146241435387419_1498030540208495,https://www.facebook.com/bobbibrown.sg/photos/a.404470419564518.97406.146241435387419/1498030520208497/?type=3,,0,0,5,0,0,0,,Bobbi Brown Cosmetics updated their cover photo.
0,2017-02-27T09:00:03+0000,146241435387419_1494424827235733,https://www.facebook.com/bobbibrown.sg/photos/a.147802145231348.25928.146241435387419/1494424827235733/?type=3,"Emi Suziki's daily routine - Using the Intensive Skin Serum Concealer, followed by the Intensive Skin Serum Foundation as SKINCARE! 

Packed with an abundance of skincare benefits, your skin will be nourished all day! 

#SerumFoundation #IntensiveSkinSerumFoundation #BobbiBrown #BBAmbassador #ボビィブラウン美容液ファンデ #インテンシブスキンセラムファンデーション @BobbiBrown @BobbiBrownjapan",0,0,8,0,0,0,,
0,2017-02-26T23:30:00+0000,146241435387419_1494423857235830,https://www.facebook.com/bobbibrown.sg/photos/a.147802145231348.25928.146241435387419/1494423857235830/?type=3,"""I always do my makeup when I’m on shoot and also on off days, but sometimes when I’m tired,  I do not feel like wearing any foundation or applying my daily skincare routine. For me, this is the perfect foundation to make my dreams come true 😍

Bobbi Brown’s Intensive Skin Serum Foundation includes a treatment benefit of Cordyceps and comes in many shade variations.

The Corrector and Concealer makes the skin around my eyes brighter and is available in more than 10 shades! You can always pick your right shade (I’m using Cool Sand btw)! 

For daily makeup, I use the concealer and a little bit of Intensive Skin Serum foundation as skincare!"" - Emi Suziki (Instagram: @emisuzuki_official)

#SerumFoundation #IntensiveSkinSerumFoundation #BobbiBrown #BBAmbassador #ボビィブラウン美容液ファンデ #インテンシブスキンセラムファンデーション @BobbiBrown @BobbiBrownjapan",0,0,10,0,0,0,,
